tKr,tKr1,yKr,yKr1
420.28,420.28,1.0077,100.79
421.28,421.28,1.0073,100.74
422.28,422.28,1.0068,100.7
423.28,423.28,1.0064,100.66
424.28,424.28,1.006,100.62
425.28,425.28,1.0056,100.58
426.28,426.28,1.0052,100.54
427.28,427.28,1.0048,100.5
428.29,428.29,1.0044,100.46
429.29,429.29,1.004,100.42
430.29,430.29,1.0037,100.38
431.29,431.29,1.0033,100.35
432.29,432.29,1.0029,100.31
433.29,433.29,1.0026,100.28
434.29,434.29,1.0022,100.24
435.29,435.29,1.0019,100.21
436.29,436.29,1.0015,100.17
437.29,437.29,1.0012,100.14
438.29,438.29,1.0009,100.11
439.29,439.29,1.0006,100.08
440.29,440.29,1.0003,100.04
441.29,441.29,0.99996,100.01
442.29,442.29,0.99966,99.984
443.3,443.3,0.99937,99.955
444.3,444.3,0.99908,99.926
445.3,445.3,0.9988,99.898
446.3,446.3,0.99853,99.87
447.3,447.3,0.99826,99.843
448.3,448.3,0.99799,99.817
449.3,449.3,0.99773,99.791
450.3,450.3,0.99748,99.766
451.3,451.3,0.99724,99.741
452.3,452.3,0.99699,99.717
453.3,453.3,0.99676,99.694
454.3,454.3,0.99653,99.671
455.3,455.3,0.9963,99.648
456.3,456.3,0.99609,99.626
457.3,457.3,0.99587,99.605
458.31,458.31,0.99566,99.584
459.31,459.31,0.99546,99.564
460.31,460.31,0.99526,99.544
461.31,461.31,0.99507,99.525
462.31,462.31,0.99488,99.506
463.31,463.31,0.9947,99.488
464.31,464.31,0.99452,99.47
465.31,465.31,0.99435,99.453
466.31,466.31,0.99418,99.436
467.31,467.31,0.99402,99.42
468.31,468.31,0.99386,99.404
469.31,469.31,0.99371,99.389
470.31,470.31,0.99356,99.374
471.31,471.31,0.99342,99.359
472.31,472.31,0.99328,99.346
473.32,473.32,0.99315,99.332
474.32,474.32,0.99302,99.319
475.32,475.32,0.99289,99.307
476.32,476.32,0.99277,99.294
477.32,477.32,0.99265,99.283
478.32,478.32,0.99254,99.272
479.32,479.32,0.99243,99.261
480.32,480.32,0.99233,99.25
481.32,481.32,0.99223,99.24
482.32,482.32,0.99213,99.231
483.32,483.32,0.99204,99.221
484.32,484.32,0.99195,99.213
485.32,485.32,0.99187,99.204
486.32,486.32,0.99179,99.196
487.32,487.32,0.99171,99.189
488.33,488.33,0.99164,99.181
489.33,489.33,0.99157,99.174
490.33,490.33,0.9915,99.168
491.33,491.33,0.99144,99.162
492.33,492.33,0.99138,99.156
493.33,493.33,0.99133,99.15
494.33,494.33,0.99128,99.145
495.33,495.33,0.99123,99.14
496.33,496.33,0.99118,99.136
497.33,497.33,0.99114,99.132
498.33,498.33,0.9911,99.128
499.33,499.33,0.99107,99.124
500.33,500.33,0.99103,99.121
501.33,501.33,0.99101,99.118
502.33,502.33,0.99098,99.115
503.34,503.34,0.99096,99.113
504.34,504.34,0.99094,99.111
