tempo,kirootlocus,kibode,kiatrasobode,kiatrasorootlocus
46.3,-0.0015986,-0.0018242,0,0
46.4,-0.001602,-0.0018281,0,0
46.5,-0.0016053,-0.0018319,0,0
46.6,-0.0016087,-0.0018358,0,0
46.7,-0.001612,-0.0018396,0,0
46.8,-0.0016154,-0.0018434,0,0
46.9,-0.0016187,-0.0018472,0,0
47,-0.001622,-0.001851,0,0
47.1,-0.0016253,-0.0018547,0,0
47.2,-0.0016286,-0.0018585,0,0
47.3,-0.0016319,-0.0018622,0,0
47.4,-0.0016351,-0.0018659,0,0
47.5,-0.0016384,-0.0018696,0,0
47.6,-0.0016416,-0.0018733,0,0
47.7,-0.0016448,-0.001877,0,0
47.8,-0.001648,-0.0018806,0,0
47.9,-0.0016512,-0.0018843,0,0
48,-0.0016544,-0.0018879,0,0
48.1,-0.0016576,-0.0018915,0,0
48.2,-0.0016607,-0.0018951,0,0
48.3,-0.0016638,-0.0018987,0,0
48.4,-0.001667,-0.0019023,0,0
48.5,-0.0016701,-0.0019058,0,0
48.6,-0.0016732,-0.0019093,0,0
48.7,-0.0016763,-0.0019129,0,0
48.8,-0.0016793,-0.0019164,0,0
48.9,-0.0016824,-0.0019199,0,0
49,-0.0016854,-0.0019233,0,0
49.1,-0.0016884,-0.0019268,0,0
49.2,-0.0016915,-0.0019302,0,0
49.3,-0.0016945,-0.0019336,0,0
49.4,-0.0016974,-0.001937,0,0
49.5,-0.0017004,-0.0019404,0,0
49.6,-0.0017034,-0.0019438,0,0
49.7,-0.0017063,-0.0019472,0,0
49.8,-0.0017092,-0.0019505,0,0
49.9,-0.0017121,-0.0019538,0,0
50,-0.001715,-0.0019571,0,0
50.1,-0.0017179,-0.0019604,0,0
50.2,-0.0017208,-0.0019637,0,0
50.3,-0.0017236,-0.0019669,0,0
50.4,-0.0017265,-0.0019702,0,0
50.5,-0.0017293,-0.0019734,0,0
50.6,-0.0017321,-0.0019766,0,0
50.7,-0.0017349,-0.0019798,0,0
50.8,-0.0017377,-0.001983,0,0
50.9,-0.0017404,-0.0019861,0,0
51,-0.0017432,-0.0019893,0,0
51.1,-0.0017459,-0.0019924,0,0
51.2,-0.0017486,-0.0019955,0,0
51.3,-0.0017513,-0.0019986,0,0
51.4,-0.001754,-0.0020016,0,0
51.5,-0.0017567,-0.0020047,0,0
51.6,-0.0017594,-0.0020077,0,0
51.7,-0.001762,-0.0020107,0,0
51.8,-0.0017646,-0.0020137,0,0
51.9,-0.0017672,-0.0020167,0,0
52,-0.0017698,-0.0020197,0,0
52.1,-0.0017724,-0.0020226,0,0
52.2,-0.001775,-0.0020256,0,0
52.3,-0.0017775,-0.0020285,0,0
