tempo,rootlocuspade
7.6688,-0.05959
7.6788,-0.059655
7.6888,-0.05972
7.6988,-0.059785
7.7088,-0.05985
7.7188,-0.059914
7.7288,-0.059979
7.7388,-0.060044
7.7488,-0.060109
7.7588,-0.060173
7.7688,-0.060238
7.7788,-0.060302
7.7888,-0.060367
7.7988,-0.060431
7.8088,-0.060496
7.8188,-0.06056
7.8288,-0.060625
7.8388,-0.060689
7.8488,-0.060754
7.8588,-0.060818
7.8688,-0.060882
7.8788,-0.060946
7.8888,-0.061011
7.8988,-0.061075
7.9088,-0.061139
7.9188,-0.061203
7.9288,-0.061267
7.9388,-0.061331
7.9488,-0.061395
7.9588,-0.061459
7.9688,-0.061523
7.9788,-0.061587
7.9888,-0.061651
7.9988,-0.061715
8.0088,-0.061779
8.0188,-0.061843
8.0288,-0.061906
8.0388,-0.06197
8.0488,-0.062034
8.0588,-0.062098
8.0688,-0.062161
8.0788,-0.062225
8.0888,-0.062288
8.0988,-0.062352
8.1088,-0.062415
8.1188,-0.062479
8.1288,-0.062542
8.1388,-0.062606
8.1488,-0.062669
8.1588,-0.062733
8.1688,-0.062796
8.1788,-0.062859
8.1888,-0.062922
8.1988,-0.062986
8.2088,-0.063049
8.2188,-0.063112
8.2288,-0.063175
8.2388,-0.063238
8.2488,-0.063301
8.2588,-0.063364
8.2688,-0.063427
8.2788,-0.06349
8.2888,-0.063553
8.2988,-0.063616
8.3088,-0.063679
8.3188,-0.063742
8.3288,-0.063805
8.3388,-0.063867
8.3488,-0.06393
8.3588,-0.063993
8.3688,-0.064056
8.3788,-0.064118
8.3888,-0.064181
8.3988,-0.064243
8.4088,-0.064306
8.4188,-0.064368
8.4288,-0.064431
8.4388,-0.064493
8.4488,-0.064556
8.4588,-0.064618
8.4688,-0.06468
8.4788,-0.064743
8.4888,-0.064805
8.4988,-0.064867
8.5088,-0.06493
8.5188,-0.064992
8.5288,-0.065054
8.5388,-0.065116
8.5488,-0.065178
8.5588,-0.06524
8.5688,-0.065302
8.5788,-0.065364
8.5888,-0.065426
8.5988,-0.065488
8.6088,-0.06555
8.6188,-0.065612
8.6288,-0.065674
8.6388,-0.065736
8.6488,-0.065797
8.6588,-0.065859
8.6688,-0.065921
8.6788,-0.065982
8.6888,-0.066044
8.6988,-0.066106
