-0.074022-0.19602i,-0.074022+0.19602i,-0.11634-0.14821i,-0.11634+0.14821i,-0.14208-0.1044i,-0.14208+0.1044i,-0.15751-0.06218i,-0.15751+0.06218i,-0.16481-0.020659i,-0.16481+0.020659i,-0.0022573
0.089989-0.20326i,0.089989+0.20326i,0.078047-0.17818i,0.078047+0.17818i,0.30501-0.2051i,0.30501+0.2051i,0.082897-0.1018i,0.082897+0.1018i,0.086864-0.033159i,-142.88,0.086864+0.033159i
0.085614-0.19389i,0.085614+0.19389i,0.088038-0.18227i,0.088038+0.18227i,0.29392-0.18166i,0.29392+0.18166i,0.087865-0.10212i,0.087865+0.10212i,0.091582-0.033336i,-220.96,0.091582+0.033336i
0.085614-0.19389i,0.085614+0.19389i,0.088038-0.18227i,0.088038+0.18227i,0.29392-0.18166i,0.29392+0.18166i,0.087865-0.10212i,0.087865+0.10212i,0.091582-0.033336i,-220.96,0.091582+0.033336i
0.085586-0.19388i,0.085586+0.19388i,0.088078-0.18227i,0.088078+0.18227i,0.29389-0.18161i,0.29389+0.18161i,0.087876-0.10212i,0.087876+0.10212i,0.091592-0.033337i,-221.18,0.091592+0.033337i
0.085586-0.19388i,0.085586+0.19388i,0.088078-0.18227i,0.088078+0.18227i,0.29389-0.18161i,0.29389+0.18161i,0.087876-0.10212i,0.087876+0.10212i,0.091592-0.033337i,-221.18,0.091592+0.033337i
0.085558-0.19386i,0.085558+0.19386i,0.088117-0.18227i,0.088117+0.18227i,0.29387-0.18156i,0.29387+0.18156i,0.087887-0.10212i,0.087887+0.10212i,0.091603-0.033337i,-221.4,0.091603+0.033337i
0.085558-0.19386i,0.085558+0.19386i,0.088117-0.18227i,0.088117+0.18227i,0.29387-0.18156i,0.29387+0.18156i,0.087887-0.10212i,0.087887+0.10212i,0.091603-0.033337i,-221.4,0.091603+0.033337i
0.083446-0.1934i,0.083446+0.1934i,0.091141-0.18181i,0.091141+0.18181i,0.2918-0.17774i,0.2918+0.17774i,0.088779-0.10217i,0.088779+0.10217i,0.092451-0.033367i,-239.46,0.092451+0.033367i
0.077884-0.1946i,0.077884+0.1946i,0.10201-0.1747i,0.10201+0.1747i,0.27788-0.15501i,0.27788+0.15501i,0.094672-0.10252i,0.094672+0.10252i,0.098067-0.033557i,-402.54,0.098067+0.033557i
0.076046-0.19526i,0.076046+0.19526i,0.10795-0.16859i,0.10795+0.16859i,0.26395-0.13609i,0.26395+0.13609i,0.10058-0.10282i,0.10058+0.10282i,0.10371-0.033731i,-677.87,0.10371+0.033731i
0.075152-0.19559i,0.075152+0.19559i,0.11181-0.16338i,0.11181+0.16338i,0.25043-0.12029i,0.25043+0.12029i,0.10649-0.10306i,0.10649+0.10306i,0.10937-0.033892i,-1142.7,0.10937+0.033892i
0.07467-0.19577i,0.07467+0.19577i,0.11425-0.15902i,0.11425+0.15902i,0.23752-0.107i,0.23752+0.107i,0.11237-0.10319i,0.11237+0.10319i,0.11506-0.03404i,-1927.7,0.11506+0.03404i
0.074399-0.19587i,0.074399+0.19587i,0.11562-0.15555i,0.11562+0.15555i,0.22533-0.095759i,0.22533+0.095759i,0.1181-0.10317i,0.1181+0.10317i,0.12078-0.034176i,-3253,0.12078+0.034176i
0.074243-0.19593i,0.074243+0.19593i,0.11626-0.15296i,0.11626+0.15296i,0.21389-0.086175i,0.21389+0.086175i,0.12352-0.10302i,0.12352+0.10302i,0.12653-0.0343i,-5490.7,0.12653+0.0343i
0.074152-0.19597i,0.074152+0.19597i,0.11648-0.15117i,0.11648+0.15117i,0.20322-0.077963i,0.20322+0.077963i,0.1284-0.10284i,0.1284+0.10284i,0.13233-0.034401i,-9269.1,0.13233+0.034401i
0.074099-0.19599i,0.074099+0.19599i,0.1165-0.15001i,0.1165+0.15001i,0.1933-0.070945i,0.1933+0.070945i,0.13254-0.10278i,0.13254+0.10278i,0.13821-0.034445i,-15649,0.13821+0.034445i
0.074067-0.196i,0.074067+0.196i,0.11647-0.14929i,0.11647+0.14929i,0.1841-0.065143i,0.1841+0.065143i,0.13578-0.10293i,0.13578+0.10293i,0.14428-0.034315i,-26420,0.14428+0.034315i
0.074049-0.19601i,0.074049+0.19601i,0.11643-0.14886i,0.11643+0.14886i,0.1755-0.060968i,0.1755+0.060968i,0.13811-0.10324i,0.13811+0.10324i,0.15063-0.033613i,-44608,0.15063+0.033613i
0.074038-0.19601i,0.074038+0.19601i,0.1164-0.1486i,0.1164+0.1486i,0.16791-0.05943i,0.16791+0.05943i,0.13966-0.10357i,0.13966+0.10357i,0.15673-0.031362i,-75316,0.15673+0.031362i
0.074023-0.19602i,0.074023+0.19602i,0.11634-0.14823i,0.11634+0.14823i,0.15791-0.061998i,0.15791+0.061998i,0.14196-0.10435i,0.14196+0.10435i,0.16453-0.021357i,-1.5063e+06,0.16453+0.021357i
0.074022-0.19602i,0.074022+0.19602i,0.11634-0.14821i,0.11634+0.14821i,0.15751-0.06218i,0.15751+0.06218i,0.14208-0.1044i,0.14208+0.1044i,0.16481-0.020659i,Inf,0.16481+0.020659i
